ename1,ename2
车辆型式,动车
车辆型式,拖车
动车,带司机室动车(Mc)
动车,无司机室动车(M)
拖车,带司机室拖车(Tc)
拖车,无司机室拖车(T)
建筑限界,隧道建筑限界
建筑限界,高架建筑限界
建筑限界,地面建筑限界
隧道建筑限界,矩形隧道建筑限界
隧道建筑限界,马蹄形隧道建筑限界
隧道建筑限界,圆形隧道建筑限界
地铁线路,正线
正线,干线
正线,支线
地铁线路,配线
地铁线路,车场线
配线,车辆基地出入线
配线,联络线
配线,折返线
配线,停车线
配线,渡线
配线,安全线
运营维修,检测
运营维修,维修
规定,隧道内
规定,超高
规定,高架线
规定,地下线
规定,高架线
规定,地面车站
规定,地面线
规定,正线
规定,配线
规定,车场库内线
规定,正线
规定,配线
规定,车场线
规定,钢轨接头
规定,曲线内股
规定,钢轨
规定,无砟道床地段
规定,无砟道床
规定,有砟道床
规定,技术性能
规定,正线
规定,扣压件形式
规定,道岔
规定,道岔
规定,辙叉部位
规定,正线
减振级别,中等减振
减振级别,高等减振
减振级别,特殊减振
规定,设置
规定,设置
规定,制作
规定,设
规定,安装
线路标志,百米标
线路标志,坡度标
线路标志,曲线要素标
线路标志,平面曲线起终点标
线路标志,竖曲线起终点标
线路标志,道岔编号标
线路标志,站名称
线路标志,桥号标
线路标志,水位标
信号标志,限速标
信号标志,停车位置标
信号标志,警冲标
绿色能源,光伏发电
重要的负荷,一级负荷
主变电所,变电所
电源开闭所,变电所
牵引变电所,变电所
降压变电所,变电所
遮阳措施,罩
遮阳措施,盖
电力调度系统(主站),电力监控系统
变电所综合自动化系统(子站),电力监控系统
专用数据传输通道,电力监控系统
电力调度系统,综合监控系统
专用通信系统,地铁通信系统
民用通信引入系统,地铁通信系统
公安通信系统,地铁通信系统
电气装置,供电系统
设施,供电系统
重要语音,有线及无线调度
重要语音,中心广播
自愈保护环,传输系统
民用传输系统,设备
移动通信引入系统,设备
集中监测告警系统,设备
公安视频监视系统,设备
公安无线通信引入系统,设备
公安数据网络,设备
单程车票,车票
储值车票,车票
其他票种,车票
一票制,票制
区域制,票制
分区制,票制
计程计时制,票制
计程限时制,票制
计次制,计程限时制
行车指挥,现代运营管理需要
防灾安全,现代运营管理需要
乘客服务,现代运营管理需要
控制中心子系统,乘客信息系统
车站子系统,乘客信息系统
车载子系统,乘客信息系统
网络子系统,乘客信息系统
广告管理子系统,乘客信息系统
信息源,控制功能
中心播出控制层,控制功能
车站/车载播出控制层,控制功能
车站/车载播出设备,控制功能
数字式,时间信息显示方式
模拟指针式,时间信息显示方式
通道门,监控对象
设备房,监控对象
控制室,监控对象
档案库房,其他监控对象
财务室(库房),其他监控对象
材料库房,其他监控对象
培训设备室,其他监控对象
重要维修,其他监控对象
测试设备,其他监控对象
线网中央级系统,门禁系统
线路中央级系统,门禁系统
车站级系统,门禁系统
现场级系统,门禁系统
终端设备,门禁系统
传输网络,门禁系统
电源,门禁系统
门禁卡,门禁系统
服务器,线网中央级系统
监控管理工作站,线网中央级系统
授权工作站,线网中央级系统
授权读卡器,线网中央级系统
打印机,线网中央级系统
局域网设备,线网中央级系统
不间断电源,线网中央级系统
服务器,线路中央级系统
监控管理工作站,线路中央级系统
授权工作站,线路中央级系统
授权读卡器,线路中央级系统
打印机,线路中央级系统
局域网设备,线路中央级系统
不间断电源,线路中央级系统
车站工作站,车站级系统
授权读卡器,车站级系统
打印机,车站级系统
局域网设备,车站级系统
不间断电源,车站级系统
运营控制中心(OCC),地铁
运营监控区,控制中心
运营管理区,控制中心
设备区,控制中心
维修区,控制中心
辅助设备区,控制中心
门体,站台门系统
门机,站台门系统
电源,站台门系统
控制,站台门系统
固定门,站台门
滑动门,站台门
应急门,站台门
中央控制盘,站台门控制系统
就地控制盘,站台门控制系统
门控单元,站台门控制系统
就地控制盒,站台门控制系统
控制局域网,站台门控制系统
接口模块,站台门控制系统
车辆段(停车场),设计
综合维修中心,设计
物资总库,设计
培训中心,设计
生产,设计
办公,设计
坑深,规定
检查坑,规定
列检检查坑,规定
技术措施,雨水集蓄设施
部位,车站站台
部位,楼板
部位,楼梯
耐久性要求,抗压
耐久性要求,抗裂
耐久性要求,抗冻
耐久性要求,抗侵蚀性
双道防线,防水混凝土
双道防线,全包防水层
部位,车站站台
部位,楼板
部位,楼梯
综合防治措施,噪声
综合防治措施,振动
资源,用房
共享,设备
共享,资源
附属设施,声屏障
附加荷载,风荷载
排水设施,桥涵
排水设施,隧道
排水设施,车站
因素,河流特性
因素,水流性质
因素,河道形状
因素,地质条件
设施,通风
设施,照明
设施,卫生
设施,防灾
两类,活动
两类,固定
构件,楼板
因素,工程地质
因素,水文地质
因素,埋深
因素,安全
因素,交通条件
因素,投资
有关顶进桥涵的规定,《铁路桥涵设计基本规范》TB 10002．1
因素,结构形式
因素,受力要求
因素,施工方法
因素,气象条件
因素,变形缝
因素,间距
具体情况,工程地质水文地质条件
具体情况,风险源的种类
具体情况,风险的性质
具体情况,接近程度
双道防水,吉那和欧米茄止水带
地下车站,地铁内部空气环境范围
区间隧道,地铁内部空气环境范围
地面车站,地铁内部空气环境范围
高架车站,地铁内部空气环境范围
