ename1,ename2
高密度,地铁线路
规范,制定
批准,建设时序
批准,线路设计长度
统筹布设,车辆基地
统筹布设,停车场
统筹布设,联络线
统筹布设,控制中心
统筹布设,主变电所
供电,设备
列车,吸收
再生制动能量吸收装置,吸收
重要的负荷,严禁
过负荷能力,大双边供电
配电线路,供电
牵引变电所,馈电
变电所接地装置,降低
通信系统,录音
公务电话系统,预留
公务电话系统,保证
专用电话系统,保证
视频监视系统,视觉信息
办公自动化系统,信息平台
传输系统,传输通道
原则,确定
合理要求,预留
自动售检票系统,建立
自动售检票系统,实现
专用传输通道,数据通信
中央计算机系统,连接
乘客,选定
自动充值机,充值
自动验票机,查验
便携式验票机,查验
乘客,排队购票
乘客,通行
车站终端设备,电气连接
金属管,电气连接
槽,电气连接
接线盒,电气连接
分线盒,电气连接
车站终端设备,可靠接地
金属管,可靠接地
槽,可靠接地
接线盒,可靠接地
分线盒,可靠接地
预埋管,避开
槽,避开
盒,避开
系统设备用房,确定
车站火灾自动报警系统,显示
设置部位,适应
房间,设
场所,设置
消防控制室,控制
UPS电源装置,供电
蓄电池型应急控制电源系统,供电
实时监控,结合
综合监控系统,有关信息
通信系统传输网络,组建
通信系统传输网络,组网
综合监控系统,设
车站级,配置
本规范第15章,执行
电力监控子系统功能,增加
本规范第21章,执行
环境与设备监控子系统功能,增加
本规范第19章,执行
火灾自动报警子系统功能,增加
综合监控系统设备,选择
提供,综合监控系统
组建,骨干网
供电,综合监控系统
获取,乘客
数据交换,乘客信息系统
提供,获得的数据
提供,终端显示设备
集成,环境与设备监控系统
实现,综合监控系统
发布,火灾自动报警系统
执行,环境与设备监控系统
合用,防烟、排烟系统
合用,正常通风系统
统一监控,环境与设备监控系统
监测,车站公共区
监测,车站控制室
监测,重要设备用房
实时计量,计量装置
统计分析,设备
统计分析,照明系统
控制,照明系统
开发,环境与设备监控系统软件
提供,系统软件
现场调试,工程
不应共用,电源线
不应敷设,电源线
提供,乘客信息系统
优先处理,乘客信息系统
显示,终端显示设备
接收,乘客信息系统
接收,时钟系统接口
同步,时钟信息
提供,乘客信息系统
提供,综合监控系统信息
提供,信息功能
接受,接口
指定的,接受
接收,乘客信息系统与外部信息源接口
提供,乘客信息系统与外部信息源接口
相适应,门禁系统构成
相适应,设备配置和布置
遵循,门禁系统
实现,门禁系统
明确,系统设计
包括,监控对象
设置,门套门
自成系统,监控管理层系统
集成,监控管理层系统
互联,监控管理层系统
供电,不间断电源
失效,出门按钮
打开,通用授权卡
安装,设备
安装,管线
相适应,位置
明装,读卡器
暗装,读卡器
协调配合,安装方式
安装,电子锁
监控管理,控制中心
靠近,位置
接近,位置
明确,工艺设计
相邻设置,紧急事件指挥室
相邻设置,交接班室
相邻设置,打印室
玻璃隔断,紧急事件指挥室
合设,线路
相邻设置,演示室
不宜设在,中央控制室
不宜设在,设备区
敷设,控制中心
接受,自动扶梯
接受,自动人行道
供电,自动扶梯
上水平段,倾斜区段
下水平段,倾斜区段
避开,安装位置
接受,电梯
兼做,电梯
不宜采用,井道顶部
避开,安装位置
接受,轮椅升降机
不得作为,站台门
结合,配置
结合,控制模式
不宜有,设置区域
适应,防护等级
匹配,开、关过程时间
均应对应,位置
均应对应,数量
不应影响,站台门
上传,重要状态
上传,故障信息
实现,监视系统
接地,站台门
综合治理,车辆基地设计
靠近,动力房屋
结合,设计
合建组成,双周/三月检库
合建组成,停车列检库(棚)
合建组成,定修库
合建组成,检修厂房
预留,规模
合并设置,列车运转调度
合并设置,检修调度
合并设置,防灾调度
影响,活塞风
两轨动态不平顺度,竖向变形差
桥墩,撞击
汽车,撞击力
