ename1,ename2
车辆,侵袭
动力大小,自动调整制
制动能量,吸收
多余能量,吸收
列车,组成
单渡线,增设
全线轨道部件,统一
过渡方式,确定
长度,确定
有砟道床地段,设计
位移观测桩,设置
百米标,设置
坡度标,设置
曲线要素标,设置
平面曲线起终点标,设置
竖曲线起终点标,设置
道岔编号标,设置
站名称,设置
桥号标,设置
水位标,设置
限速标,设置
停车位置标,设置
警冲标,设置
标志,制作
警冲标,设
标志,安装
电气设备,地下使用
地铁外部电源方案,设计
其他负荷接入,严禁
正极,不应接地
负极,不应接地
降压变电所,合建
牵引变电所,合建
运营高峰小时行车密度,计算确定
车辆编组,计算确定
车辆类型,计算确定
特性,计算确定
线路资料,计算确定
牵引整流机组,退出运行
牵引整流机组,运行
供电分区,双边供电
牵引变电所,退出运行
地上线接触网,供电
控制电缆,敷设
电力电缆,敷设
接触网,馈电
根数,计算确定
截面,计算确定
安装位置,可靠接触确定
安装误差,可靠接触确定
开孔部位,电缆
孔洞处,电缆
开孔部位,阻火封堵
孔洞处,阻火封堵
照明负荷,交叉配电
分组控制,交叉配电
电缆,明敷
电力电缆,明敷
通信、信号电缆,明敷
电缆,敷设
金属电缆支架,防腐处理
杂散电流,抑制
杂散电流,减少
地铁外部,杂散电流
无砟道床,非电气连接
其他结构钢筋,非电气连接
金属管线,非电气连接
接地装置,非电气连接
排流设施,使用
变电所,接地装置
直流牵引供电设备,绝缘安装
具体位置,确定
外露可导电部分,接地
接触电位差,降低
跨步电位差,降低
通信设备,供电
重要语音,录音
录音设备,集中设置
设备限界,侵入
车辆限界,超出
地铁光缆网,建设
光缆数量,规划
容量,规划
光缆径路,规划
通信电缆,敷设
光缆,敷设
强电电缆,敷设
光缆,敷设
电力电缆同径路,敷设
无线通信系统车载台,布置
地铁公务电话交换网络,统一规划
地铁公务电话交换网络,分期实施
数据信息业务功能,预留
所管辖范围,公务电话交换机
调度专用功能,保证
控制中心调度员,视觉信息
各车站值班员,视觉信息
列车司机,视觉信息
区域,统一设置
地铁运营和管理,信息平台
办公自动化软件平台,建设
建设,统一规划
建设,实施
移动通信引入,传输通道
集中监测告警系统,传输通道
民用传输系统,合设
专用通信传输系统,合设
城市公安无线通信系统,公安无线通信引入系统
面积,确定
沟,预留
槽,预留
管,预留
孔,预留
维修频度,减少
车辆限界,超出
设备限界,侵入
信号设备,协调
城市景观,信号设备
密钥系统,建立
车票制式标准,建立
城市“一卡通”车票,处理
接口,实现
三级网络,互连
清分系统,连接
“一卡通”系统,清分系统
中央计算机系统之间,清分系统
充值金额,选定
储值票,充值
相关信息,查验
通信电缆,敷设
电源电缆,敷设
位置,避开
面积,确定
自动灭火系统保护区,显示
报警区域,划分
等级,适应
气体自动灭火,设
火灾探测器,设置
设置位置,结合设置
位置,结合设置
车站消防控制室,结合设置
车站综合控制室,结合设置
消防控制室,集中设置
状态信息,显示
工作状态,控制
电源,供电
控制回路,划分
配电线路,划分
金属管,穿
传输线路,水平敷设
管内,穿入
事务数据管理,结合
线网运营控制中心,有关信息
综合监控系统,构建
专用传输网络,组建
仿真测试平台,设
其他功能,增加
其他功能,增加
其他功能,增加
站台门,监视
工业级网络,选择
控制产品,选择
接口,增减
车站数量,增减
上层信息管理系统功能,接入
有关信息,提供
线网运营控制中心,有关信息
专用传输网络,组建
站台门的开关门状态,监视
重要的故障信息,监视
上层信息管理系统,接入
相关信息,获取
信息服务,提供
乘客,信息服务
信息服务,提供
乘客,信息服务
综合监控系统,集成
车站及中央级监控功能,实现
火灾模式指令,发布
控制程序,执行
设备,统一监控
车站自动或手动火灾模式指令,接收
车站防烟、排烟模式,执行
列车区间,接收
火灾部位信息,接收
隧道防排烟模式,执行
车站乘客导向标识系统,监控
应急照明系统,监控
各排水泵房危险水位,监视
环境相关参数,监测
设备,统计
运行状况,统计
运行时间,统计
用能分类,实时计量
分项,实时计量
各用能系统,实时计量
大功率设备,实时计量
能耗,统计分析
系统设备,控制
应用软件,开发
开放性接口,提供
布置,管线
电磁干扰,避免
电缆,不应共用
同一根,不应敷设
屏蔽布线系统,采用
连续性,应保持
运营相关信息,提供
新闻,提供
天气预报,提供
道路交通,提供
公共信息,提供
公益广告,提供
优先处理,数据
多类信息,显示
时钟信息,接收
本系统的时钟,同步
标准时间信息,提供
乘客,标准时间信息
列车到站时间,提供
列车到站时间信息,提供
乘客,列车到站时间信息
综合监控信息,接受
外部信息源的信号,接收
全面的,提供
实时的,提供
同一根金属套管,不应敷设
运营管理模式,相适应
门禁系统,统一授权管理
统一的,遵循
实现,实现
线路,实现
车站内,实现
监控管理,明确
重要的,包括
设备用房,包括
管理用房,包括
通道的门,包括
中央控制室,进入
门禁,设置
综合监控,集成
综合监控,互联
任意,打开
安全区域,安装
运营管理模式,相适应
公共区,明装
公共区,暗装
建筑装修,协调配合
门扇,作用
变形,门扇
单条或多条,监控管理
地铁线路,靠近
车站,靠近
监控管理对象,接近
功能定位,明确
建设规模,明确
运营管理模式,明确
组织架构,明确
定员数量,明确
中央控制室,相邻设置
中央控制室,玻璃隔断
专业系统,合设
中央控制室,相邻设置
紧急事件指挥室,相邻设置
高层建筑,不宜设在
管线,敷设
环境与设备监控系统,接受
自动扶梯,下水平段
结构诱导缝,避开
变形缝,避开
车站BAS,接受
消防梯,兼做
透明结构形式,不宜采用
土建结构,避开
BAS的监视,接受
站台门系统,安装
维护,站台侧
维修,站台侧
防火隔离装置,不得作为
车站其他系统,结合
变形缝,不宜有
环境条件,适应
列车门,匹配
单边滑动门,手动开启
列车客室门,均应对应
列车司机出入,不应影响
本站车站控制室,上传
控制中心,上传
站台门系统,监视
监视,实现
参数,下载
参数,修改
接地端子,接地
废气,综合治理
废液,综合治理
废渣,综合治理
噪声,综合治理
负荷中心,靠近
当地的环境要求,结合
运用库,合建组成
联合检修库,合建组成
远期发展条件,预留
车辆段调度中心(DCC),合并设置
雨水,技术措施
车站控制室,排水设备
活塞通风道,布置
噪声,通风、空调设备
工程安全风险设计,地下结构设计
边坡,加固措施
进风亭口部,排烟风亭口部
出入口口部,排烟风亭口部
楼梯第一级踏步,自动扶梯工作点
撞击,汽车
桥墩,撞击力
环境,施工中
环境,建成后
周围环境,城市规划
结构,改变
