ename1,ename2
监控,地铁列车
地铁工程设计,安全可靠
地铁工程设计,功能合理
地铁工程设计,经济适用
地铁工程设计,节能环保
地铁工程设计,技术先进
无人驾驶运行模式,列车运行
月平均温度,最大相对湿度
整备状态,车辆
坡道上,列车
受流,受流器
受流,受电弓
故障及紧急情况下,车辆
后,列车车门
载荷大小,自动调整制
再生制动,列车
轨道中心道床面,应急疏散通道
工程结构形式,隧道建筑限界
疏散平台,区间
同侧,布置
车辆侧门疏散模式,高架区间
功能定位,地铁线路
比较,特殊地形地区
充分依据,特殊地形地区
困难,线路
排水措施,区间地面线
有砟道床地段,坡段
重叠,缓和曲线
组合布置,道岔
站后折返,尽端站
车辆运行条件,设计
地段,无轨底坡
曲线地段,标准轨距
无缓和曲线,递减
长度不足,递减
范围内,递减
困难地段,超高
内,递减
无缓和曲线,递减
长度不足,递减
计算,确定
浮充状态,蓄电池
隔离开关处,隧道入口
监测情况,牵引变电所
基础,增加
基础,增加
基础,增加
乘车过程中,乘客
系统外部接口,数据交换
系统处理,提供
环境与设备监控系统,综合监控系统
环境与设备监控系统,综合监控系统
火灾模式指令,火灾工况
环境与设备监控系统,火灾工况
火灾情况,设备
工程,系统软件
提供,终端显示设备
乘客,提供
其他功能,运营管理的需要
只在一个门上,设置
一个房间有多个门,常用门
失效,开门
根据需要,读卡器
地铁线网,设置
一级负荷,供电
每天,不应少于20h
每周,不应少于140h
每3h,应能以100％制动载荷连续运行1h
产品要求,各支点
跨越时,构造措施
无法满足无机房电梯布置要求,液压电梯
车站控制室,功能
轿厢,三方通话
控制柜,三方通话
机房,三方通话
液压电梯,集油装置
暴露于室外,井道顶部
产品要求,电梯井道
土建工程,产品要求
运行时,占用宽度
具体土建情况,停靠方式
站台侧,便于
跨越变形缝,站台门
一定范围内,开、关过程时间
站台门,列车停车精度
开、关门状态,站台门
30min内,完成开、关滑动门三次循环的需要
城市杂用水系统,使用要求
排放,处理
排放,排放标准
防水套管,壁板或底板
给水水源,无城市自来水
两端,影响
措施,失效
排除余热要求,不能满足
困难,布置
供应,空调系统
需供应,每个工作人员
需供应,每小时
环境要求,设备
耐久性要求,所处的环境
耐久性要求,工作条件
施工阶段,桥梁结构
施工荷载,桥梁结构
梁缝位置,不能满足
能力保护原则,桥墩抗震
顶梁,更换支座
位置,更换支座
车站结构横梁,轨道梁简
非机动车和机动车的停放场地,需要
非机动车和机动车的停放场地,可能
限界要求,距离
站台地面装饰层,站台门
冷却塔,地段
人行楼梯,自动扶梯
备用自动扶梯,自动扶梯
车站,换乘车站
附加荷载,附属设施
焊接强度,装配式支挡结构
站台边缘,站台门
集散场地,城市主干道
直线距离,排烟
排烟风亭口部,直线距离
中间扶手,宽度
自动扶梯工作点,相对布置
滑动门,长度中心线
站台端部,车站
门前等候区,轨道区
无砟桥面梁,轨道
有砟轨道桥梁,静活载作用
无砟轨道桥梁,静活载作用
梁端处,大于2‰
桥跨结构,横向摇摆力
桥跨结构,离心力
桥跨结构,风力
桥跨结构,温度力
桥跨结构梁体,列车活载作用
列车活载,计算
车桥或风车桥系统,不能满足
防撞保护设施,撞击
汽车,防护设施
容许应力,地震力
轨道下枕底道砟厚度,有砟道床
专门检查设备,养护维修便道处
普通钢筋,部位
混凝土水饱和,雨水
轨道梁桥,分开布置
车站结构设计,轨道梁桥
轨道梁桥,现行建筑结构设计规范
悬臂端计算挠度,最不利组合
独柱纵向间距,不能满足
轨道梁桥,完全分开布置
不利影响,地下结构设计
地下水处理,含水地层
分节顶进,长度较大
分布钢筋,大于C60
线路设施,地下潜水位以上
结构,线路设施
防水混凝土,侵蚀性地层中
采用,检测
采用,试验
采用,鉴定
技术要求,接缝最大张开量
技术要求,错位量
技术要求,埋深水头的3倍水压
