ename1,ename2
组织运行,全封闭式
设计,安防设施
监控,安全防护系统
主要客运通道,城市客运量大
城市总体规划,政府主管部门
城市轨道交通线网规划,政府主管部门
近期建设规划,政府主管部门
双线线路,右侧行车
文件,政府主管部门
线路,各
批准,政府主编部门
设计运输能力,相应年限
《城市轨道交通技术规范》GB 50490,现行国家标准
地铁运营线路,首条
每条,后建
线路,每条
《地铁车辆通用技术条件》GB/T 7928,现行国家标准
有关规定,《地铁车辆通用技术条件》GB/T 7928
《城市轨道交通车辆组装后的检查与试验规则》GB/T 14894,现行国家标准
有关规定,《城市轨道交通车辆组装后的检查与试验规则》GB/T 14894
设施,内部
阻燃材料,无卤
阻燃材料,低烟
侵袭,风
侵袭,沙
侵袭,雨
侵袭,雪
第6.2.1条,规范
受电,接触网受电弓
受电,接触轨受流器
车,新造
动车,同一
3％,重量值
起动,列车
地铁车辆,同一城市
车辆,两节
车辆,连接
抗拉强度,足够
墙板,内外
隔热,吸湿性小
隔热,膨胀率低
隔热,性能稳定
隔声,吸湿性小
隔声,膨胀率低
隔声,性能稳定
材料,隔热
材料,隔声
供电,浮充电蓄电池
《铁路应用 机车车辆电气设备 第Ⅰ部分：一般使用条件和通用规则》GB/T 21413.1,现行行业标准
系统,车门控制
系统,应急通风
系统,应急照明
系统,外部照明
系统,车载安全设备
系统,通信
系统,广播
后,45min
一次,开关门
安装,二级绝缘
短路保护用空气断路器,正极
短路保护用空气断路器,负极
列车,其他
车辆,端部
车辆,各
之间,车辆
列车,过站限界
列车,区间限界
坐标系,建筑限界
平面直角坐标,轨道中心线
两钢轨轨顶中心连线,通过
中点,两钢轨轨顶中心连线
水平坐标轴,中点
隧道,单线圆形
隧道,单线马蹄形
安全间隙,100mm
设备限界,相邻两线
安全间隙,50mm
电设备,强
电设备,弱
线路两侧,分别
规定,电干扰距离
电干扰距离,强
电干扰距离,弱
道岔转辙机,单渡线区域
道岔转辙机,交叉渡线区域
高架区间,双线
设备,弱电
设备,强电
结构墙,站台板下
电缆通道,站台内
结构墙体,站台板下
功能定位,运营
特殊地形地区,山地城市
比较,技术经济
排水措施,有效
坡段,竖曲线
坡段,缓和曲线
坡段,超高顺
钢轨,每条
中间站,一般
道岔,单渡线
道岔,单渡线
道岔,其他配线
单渡线,站前
强度,足够
弹性,适量
现代化,检测
设备,维修
设备,检测
机械化,维修
地段,不足50m
曲线地段,250m
递减,直线地段
无砟道床地段,隧道内
无砟道床地段,U形结构
1/2,外轨抬高超高值
1/2,内轨降低超高值
内,缓和曲线
长度不足,缓和曲线
递减,直线段
道床结构,一种
曲线地段,200m
钢轨,不同类型
连接,异型钢轨
零部件,扣件
一致,类型
钢轨,相邻区间
钢轨,相邻区间
扣压件,相邻区间
道床结构,不同
减振地段,不同
无砟道床,正线
无砟道床,出入线
无砟道床,试车线
设计,一次铺设无缝线路
设置,一个单元轨节
工程,每个
减振轨道类型,过多
减振产品,过多
标志,各种
标志,其余
位置,司机易见
位置,右侧
主要材料,地下使用
阻燃,无卤
阻燃,低烟
耐火,无卤
耐火,低烟
产品,阻燃
产品,耐火
用电负荷,动力照明
变电所,各类
电源,双重
进线电源,每个
要求,变电所一、二级负荷
牵引整流机组,两套
牵引整流机组,一套
供电分区,同一
牵引变电所,两相邻
折返线,不设车辆检查坑
两座,相邻
牵引变电所,两座
牵引整流机组,两套
低压母线,两段
蓄电池,正常运行
连续供电,交流停电
铝合金汇流排,“Π”形
铝合金汇流排,“T”形
架空接触网,地上区段
架空接触网,地上区段
架空地线,每隔200m
回路,同一重要
支架,不同层
电力电缆,单洞单线隧道内
左侧,沿行车方向
电力电缆,单洞双线隧道内
手动隔离开关,带接地刀闸
衔接处,车辆基地
衔接处,正线
远期负荷,大双边供电
电缆根数,回路
安装位置,接触轨
安装误差,接触轨
可靠接触确定,相对运动
接地方式,金属层
要求,金属层
车站公共区,地下
线路,地上
管材,硬质非金
管材,轨道下
需要,系统稳定与发展
运行要求,变电所无人值守
监测情况,杂散电流
接地线,变电所
最大值,保护地线截面
要求,电磁兼容性
具体位置,均流线
电缆,具体位置
供电,一级负荷
通信设备,交流供电
