ename1,ename2
远期最大能力,系统设计
要求,30对/h
有关规定,规范
接口,安全检查设备
线路功能定位,地铁工程设计
服务水平,地铁工程设计
系统运能,地铁工程设计
线路走向,地铁工程设计
起讫点,地铁工程设计
车辆基地选址,地铁工程设计
资源共享,地铁工程设计
线路,地铁
建设时序,线路
线路设计长度,线路
远期最大能力,系统设计
监控,列车运行
应急通信,车辆客室
站台门,车站
有关规定,《城市轨道交通技术规范》GB 50490
资源共享,运营管理
资源共享,维修保障
系统运营人员,地铁运营线路
定员,系统运营人员
运营定员指标,线路
技术要求,地铁车辆
检查,车辆组装
试验,车辆组装
设施,车辆
使用条件,车辆
最大坡度,正线
最大坡度,出入线
最大坡度,联络线
最大坡度,特殊地形地区段
直径,车轮
同轴,车
两轮直径之差,同轴
转向架,动车
各轮径差,转向架
重量,车辆
重量值,合同
加速度,起动
水平中心线,车钩
高,距
渡板,贯通道
密封材料,贯通道
墙板,车体
静态压力,受电弓
静态压力,受流器
标称电压,设备
额定工作电压,设备
有关规定,《铁路应用 机车车辆电气设备 第Ⅰ部分：一般使用条件和通用规则》GB/T 21413.1
容量,蓄电池
系统,车辆
工作,系统
制动能量,列车
多余能量,列车
端部,列车
各,列车
端门,车辆
贯通道,之间
宽度,贯通道
宽度,端门
高度,端门
高度,贯通道
混凝土结构体,轨道区
轨旁设备,轨道区
接触网,轨道区
带电部分,接触网
间隙,混凝土结构体
间隙,轨旁设备
间隙,带电部分
表15.3.3,规范
基本参数,车辆
基本参数,制定限界
安装高度,距
第15.3.21条,规范
结构高度,轨道
表7.2.5-1,规范
计算速度,列车
计算速度,列车
最小宽度,疏散平台
高度,疏散平台
平面曲线最小半径,全线盾构施工地段
最大轨道超高,全线盾构施工地段
建筑限界,隧道
平面曲线最小半径,矿山法施工地段
隔断门,轨道区
建筑限界,隔断门
宽度,建筑限界
内边缘,门框
门框,隔断门
建筑限界,隔断门
高度,建筑限界
矩形隧道,区间
高度,矩形隧道
要求,设备限界
设备,轨道区
管线,轨道区
间隔距离,电设备
管线,区间内
一组,道岔转辙机
另一组,道岔转辙机
管线设备,高架区间
布置,管线设备
范围内,车站
管线设备,范围内
布置,管线设备
广告灯箱,岛式车站
信号机,岛式车站
弱电电缆,岛式车站
广告灯箱,侧式车站
外侧,结构墙体
坡度,线路
设计,坡度
最大坡度,正线
困难地段,正线
最大坡度,困难地段
最大坡度,特殊地形地区
最大坡度,联络线
最大坡度,出入线
线路,区间隧道
最小坡度,线路
竖曲线,无砟道床地段
缓和曲线,无砟道床地段
钢轨,无砟道床地段
超高最大顺坡率,钢轨
设置,渡线
单渡线,中间站
设计,轨道结构
承载能力,轨道结构
主体结构,无砟轨道
设计,主体结构
使用年限,设计
设计,混凝土轨枕
部件选型,轨道结构
设计,轨道结构
轨底坡,钢轨
不足50m,两道岔间
加宽值,轨距加宽
递减率,递减
范围内,缓和曲线
长度不足,缓和曲线
曲线超高,无砟道床地段
轨道曲线超高,高架线
轨道曲线超高,地面线
顺坡率,超高
高度,轨道结构
最小厚度,有砟道床
型式,道床结构
同一,配线
曲线地段,配线
型式,道床结构
宽度,轮缘槽
深度,轮缘槽
铺设数量,扣件
钢轨,正线
钢轨,配线
有缝线路地段,正线
钢轨接头,有缝线路地段
曲线内股,有缝线路地段
半径,配线
半径,车场线
钢轨接头,曲线地段
错接距离,钢轨接头
物理力学性能指标,零部件
节点,无砟道床
垂直静刚度,节点
扣件,有砟道床
节点,扣件
垂直静刚度,节点
动静比,节点
技术性能,轨枕
无砟道床地段,轨枕
有砟道床地段,轨枕
道岔钢轨,正线
类型,道岔钢轨
强度等级,钢轨
材质要求,钢轨
扣压件形式,弹性分开式扣件
道床形式,道岔
转辙器,道岔
辙叉部位,道岔
道岔,正线
直向,道岔
允许通过速度,侧向
侧向,道岔
过渡段,道床结构
长度,过渡段
过渡方式,间
长度,间
有砟道床地段,正线
设置,位移观测桩
基础,设置
位移观测桩,钢轨伸缩调节器
位移观测桩,道岔
右侧,行车方向
车辆再生制动能量吸收装置,供电系统设计
设备,供电系统
功能性接地,设备
保护性接地,设备
防雷接地,设备
容量,进线电源
变电所,供电系统
正极,牵引网
负极,牵引网
牵引变电所,牵引降压混合变电所
降压变电所,牵引降压混合变电所
数量,变电所
容量,变电所
高、低压侧,变电所配电变压器
接触网,终端车站
接触网供电,折返线
牵引整流机组,牵引变电所
过负荷能力,牵引整流机组
低压母线,自变电所
电源,变电所交、直流电源屏
容量,蓄电池
中压继电保护设置,变电所
中压配电回路,变压器
强度安全系数,柔性架空接触网设计
间距,避雷器
架空地线,架空接触网
非带电金属体,固定支持架空接触网
备用电源,正线
接触网,停车列检库
接触网,静调库
接触网,试车线
接触网,库线
根数,上网电缆
截面,回流电缆
金属层,中压交流电力电缆
开孔部位,电气柜
开孔部位,盘
开孔部位,控制屏
电缆,电缆构筑物
孔洞处,隔墙
孔洞处,楼板
排水,电缆构筑物
排水,管槽
照明负荷,车站公共区
间距,通信、信号电缆
间距,通信、信号电缆
其他设计要求,动力照明
系统构成,电力监控系统
监控对象,电力监控系统
功能要求,电力监控系统
特点,供电系统
运营要求,供电系统
通道条件,供电系统
专用数据传输通道,联系主站
专用数据传输通道,子站
设备选型,电力监控系统
系统容量,电力监控系统
功能配置,电力监控系统
功能,电力监控系统
原则,杂散电流腐蚀防护
截面,接地线
保护地线截面,系统
直流牵引供电设备,牵引变电所
外露可导电部分,电气装置
外露可导电部分,设施
接地电阻,接地装置
最小值,要求
要求,接入设备
录音设备,通信系统
中心控制设备,视频监视系统
车站控制设备,视频监视系统
设备,视频监视系统
正线运营广播系统,广播系统
车辆基地广播系统,广播系统
调度电话,专用电话系统
站间行车电话,专用电话系统
专用直通电话,专用电话系统
区间电话,专用电话系统
中心交换设备,专用电话系统
车站(车辆基地)交换设备,专用电话系统
终端设备,专用电话系统
录音装置,专用电话系统
网管设备,专用电话系统
自走时精度,一级母钟
自走时精度,二级母钟
民用传输系统,地铁民用通信引入系统
移动通信引入系统,地铁民用通信引入系统
集中监测告警系统,地铁民用通信引入系统
民用电源系统,地铁民用通信引入系统
监测中心设备,集中监测告警系统
被控端站监测设备,集中监测告警系统
公安视频监视系,地铁公安通信系统
公安无线通信引入系统,地铁公安通信系统
公安数据网络,地铁公安通信系统
公安电源系统,地铁公安通信系统
供电需求,设备
面积,机房及生产辅助用房
车载设备,信号系统
地面设备,信号系统
地面设备,ATP系统
车载设备,ATP系统
地面计算机设备,ATP地面设备
信息传输设备,ATP地面设备
列车位置检测设备,ATP地面设备
相关接口,ATP地面设备
ATP车载计算机设备,ATP车载设备
测速设备,ATP车载设备
人机显示设备,ATP车载设备
车地通信设备,ATP车载设备
相关接口,ATP车载设备
三取二,冗余结构
二乘二取二,冗余结构
地面设备,ATO系统
车载设备,ATO系统
ATO车载计算机,ATO车载设备
相关接口,ATO车载设备
基本信号显示,信号系统
系统技术条件,自动售检票系统
清分系统,自动售检票系统
线路中央计算机系统,自动售检票系统
车站计算机系统,自动售检票系统
车站终端设备,自动售检票系统
传输通道,自动售检票系统
车票,自动售检票系统
半自动售票机,车站终端设备
自动售票机,车站终端设备
自动充值机,车站终端设备
自动检票机,车站终端设备
自动验票机,车站终端设备
便携式验票机,车站终端设备
相关信息,车票
车站,三级管理模式
线路票务中心,三级管理模式
线网票务中心,三级管理模式
通道净距,双向宽通道自动检票机
设置,自动售票机
用电负荷,清分系统
用电负荷,灾备系统
用电负荷,线路中央计算机系统
用电负荷,车站计算机系统
用电负荷,车站终端设备
用电负荷,维修测试系统
接地电阻,综合接地
报警,自动灭火系统保护区
喷气,自动灭火系统保护区
风阀状态,自动灭火系统保护区
手/自动转换开关所处状态,自动灭火系统保护区
设置部位,火灾探测器
等级,保护对象
车辆停放车间,控制中心
维修车间,控制中心
重要设备用房,控制中心
可燃物品仓库,控制中心
变配电室,控制中心
场所,控制中心
车辆停放车间,车辆基地
维修车间,车辆基地
重要设备用房,车辆基地
可燃物品仓库,车辆基地
变配电室,车辆基地
场所,车辆基地
