ename1,ename2
安防设施,地铁工程
接口,设计
监控系统,设计
危险品处理设施,设计
相关用房,设计
贯通道,之间
短路保护用空气断路器,蓄电池箱
专用端门,车辆
下车设施,车辆
疏散平台,高架区间
设备,设计
轨底坡,地段
道口板,平过道
过渡段,间
位移观测桩,无缝线路
一级负荷,用电负荷
二级负荷,用电负荷
三级负荷,用电负荷
应急电源,重要的负荷
牵引变电所,车辆基地
牵引整流机组,牵引变电所
雷电过电压吸收装置,直流馈线
雷电过电压吸收装置,负母线
避雷器,高、低压侧
浪涌保护器,高、低压侧
手动隔离开关,接触网
低压母线,电源
电压吸收装置,中压配电回路
刚柔过渡设施,衔接处
避雷器,架空接触网
避雷器,隔离开关处
火花间隙,架空地线
支架,工作与备用电缆
左侧,电力电缆
隧道两侧,电力电缆
手动隔离开关,接触网
绝缘结,走行轨
电缆检查井,隧道外适当位置
电力监控系统,地铁供电系统
排流钢筋网,无砟道床
杂散电流监测,牵引变电所
排流设施,牵引变电所
均流线,上、下行轨道间
控制中心调度台,控制中心调度大厅内
行车调度电话分机,处所
电力调度电话分机,处所
防灾环控调度电话分机,处所
多路输出接口,一级母钟
多路输出接口,二级母钟
数据接口,一级母钟
ATP车载设备,首尾两端
AFC系统,地铁
维修测试系统,自动售检票系统
培训系统,自动售检票系统
专用传输通道,互连
安全系统,独立网络系统间
标准通道双向自动检票机,车站
双向宽通道自动检票机,付费区
系统设备用房,自动售检票系统
火灾自动报警系统(FAS),车站
火灾自动报警系统(FAS),区间隧道
火灾自动报警系统(FAS),区间变电所
火灾自动报警系统(FAS),系统设备用房
火灾自动报警系统(FAS),主变电所
火灾自动报警系统(FAS),集中冷站
火灾自动报警系统(FAS),控制中心
火灾自动报警系统(FAS),车辆基地
触发装置,火灾自动报警系统
火灾探测器,站厅
火灾探测器,设备用房
火灾探测器,管理用房
火灾探测器,配电室
火灾探测器,电缆隧道
火灾探测器,夹层
火灾探测器,车辆停放车间
火灾探测器,维修车间
火灾探测器,重要设备用房
火灾探测器,可燃物品仓库
火灾探测器,变配电室
火灾探测器,场所
手动报警装置,场所
手动报警按钮,出入口通道
警报音响,公共区域
警钤,办公区走廊
火灾报警控制器,消防控制室
消防联动控制器,消防控制室
图形显示装置,消防控制室
主电源,火灾自动报警系统
直流备用电源,火灾自动报警系统
