ename1,ename2
全封闭式,地铁线路
行车密度,远期最大能力
有关规定,设计
城市总体规划,地铁工程设计
城市轨道交通线网规划,地铁工程设计
近期建设规划,地铁工程设计
城市综合交通规划,地铁工程设计
科技创新,地铁设计
节约资源,地铁设计
集约化建设,地铁设计
1435mm标准轨距,地铁线路
双线线路,正线
远景线网规划,线路功能定位
远景线网规划,服务水平
远景线网规划,系统运能
远景线网规划,线路走向
远景线网规划,起讫点
远景线网规划,车辆基地选址
远景线网规划,资源共享
文件,线路功能定位
文件,服务水平
文件,系统运能
文件,线路走向
文件,起讫点
文件,车辆基地选址
文件,资源共享
城市形态,建设时序
规模,建设时序
客流分布状况,建设时序
发展需求,建设时序
技术经济合理原则,建设时序
城市形态,线路设计长度
规模,线路设计长度
客流分布状况,线路设计长度
发展需求,线路设计长度
技术经济合理原则,线路设计长度
线网规划,车辆基地
线网规划,停车场
线网规划,联络线
线网规划,控制中心
线网规划,主变电所
建设时序,车辆基地
建设时序,停车场
建设时序,联络线
建设时序,控制中心
建设时序,主变电所
线路运营,配线
管理,配线
安全要求,配线
工程条件,配线
设计运输能力,系统设计能力
行车密度,远期最大能力
《城市轨道交通技术规范》GB 50490,监控
《城市轨道交通技术规范》GB 50490,应急通信
《城市轨道交通技术规范》GB 50490,站台门
《城市轨道交通技术规范》GB 50490,电视监视
线网规划,运营管理资源
各线条件,运营管理资源
资源共享,运营管理资源
本章规定,技术要求
有关规定,技术要求
有关规定,检查
有关规定,试验
环境条件,使用条件
线路条件,使用条件
供电条件,使用条件
海拔,环境条件
环境温度,环境条件
最大相对湿度,环境条件
侵袭,环境条件
线路轨距,线路条件
最小平面曲线半径,线路条件
最小竖曲线半径,线路条件
正线,线路条件
困难地段,线路条件
出入线,线路条件
联络线,线路条件
特殊地形地区段,线路条件
第6.2.1条,最小平面曲线半径
受电方式,供电条件
供电电压,供电条件
密封,贯通道
防火,贯通道
防水,贯通道
隔热,贯通道
隔声,贯通道
耐磨,渡板
平顺,渡板
防滑,渡板
防夹,渡板
抗拉强度,密封材料
安全可靠,密封材料
不易老化,密封材料
无损伤或异常磨耗,受电器
无损伤或异常磨耗,供电设施
有关规定,额定工作电压
车辆,容量
一次,列车车门
自动调整制,制动系统
贯通,之间
表15.3.3,间隙
表5.2.1,基本参数
安装高度,基本参数
结构高度,基本参数
风荷载,基本参数
计算速度,基本参数
计算速度,基本参数
疏散平台,基本参数
第15.3.21条,安装高度
表7.2.5-1,结构高度
表5.2.2,最小宽度
平面曲线最小半径,建筑限界
最大轨道超高,建筑限界
平面曲线最小半径,建筑限界
相同,高度
相同,高度
要求,警冲标
规定,间隔距离
保持顺直,管线
高架区间,布置
岛式车站,布置
侧式车站,布置
正线,设计
困难地段,设计
特殊地形地区,设计
联络线,设计
出入线,设计
区间隧道,设计
区间地面线,设计
高架线,设计
单渡线,设置
单渡线,设置
尽端站,设置
功能需要,组合布置
增设,尽端站
强度,轨道结构
稳定性,轨道结构
耐久性,轨道结构
绝缘性,轨道结构
弹性,轨道结构
质量均衡,承载能力
弹性连续,承载能力
结构等强,承载能力
合理匹配,承载能力
使用功能,部件选型
少维修,部件选型
标准化,部件选型
系列化,部件选型
统一,部件选型
现代化,设计
机械化,设计
不宜,轨底坡
表7.2.2,加宽值
递减,轨距加宽值
递减,轨距加宽值
规定,曲线超高设置
递减,曲线超高值
结构型式,高度
表7.2.5-1,高度
表7.2.5-2,最小厚度
规定,型式
表7.2.7,铺设数量
规定,钢轨
扣件产品相关技术条件,物理力学性能指标
规定,扣件结构
轨枕产品有关技术条件,技术性能
规定,道岔结构
道岔产品有关技术条件,技术性能
一致,类型
一致,钢轨
强度等级,道岔钢轨
材质要求,道岔钢轨
一致,扣压件形式
一致,扣压件
一致,道床形式
一致,同一区间
规定,过渡段
牢固稳定,基础
项目环评报告,减振工程措施
减振产品性能,减振工程措施
规定,轨道标志
经济技术综合比较,设计方案
体积小,电气设备
防潮要求,电气设备
城市轨道交通线网规划,地铁外部电源方案
城市电网现状及规划,地铁外部电源方案
城市规划,地铁外部电源方案
供电可靠性要求,用电负荷
失电影响程度,用电负荷
要求,容量
线路上的分布,变电所
计算分析比选,线路上的分布
运营高峰小时行车密度,牵引负荷
车辆编组,牵引负荷
车辆类型,牵引负荷
特性,牵引负荷
线路资料,牵引负荷
远期负荷,牵引整流机组容量
正常运行方式,牵引变电所
现行行业标准《交流电气装置的过电压保护和绝缘配合》DL/T620,过电压保护
单独分段,接触网
连续供电,容量
国家现行标准《电力装置的继电保护和自动装置设计规范》GB/T50062,中压继电保护设置
现行行业标准《铁路电力牵引供电设计规范》TB10009,强度安全系数
条件,接触网架空地线
火灾,配电线路
敷设,敷设
兼做回流,走行轨
远期负荷,截面
远期负荷,根数
可靠接触确定,车辆受流器
可靠接触确定,接触轨
现行国家标准《电力工程电缆设计规范》GB50217,接地方式
现行国家标准《电力工程电缆设计规范》GB50217,要求
现行国家标准《电力工程电缆设计规范》GB50217,排水
正常照明,车站照明种类
应急照明,车站照明种类
值班照明,车站照明种类
过渡照明,车站照明种类
线路,电缆
地铁隧道,隧道外适当位置
现行国家标准《城市轨道交通照明》GB/T16275,照明照度标准
《建筑照明设计标准》GB50034,照明照度标准
国家现行标准《低压配电设计规范》GB50054,其他设计要求
《通用用电设备配电设计规范》GB50055,其他设计要求
《民用建筑电气设计规范》JGJ16,其他设计要求
特点,系统构成
特点,监控对象
特点,功能要求
运营要求,系统构成
运营要求,监控对象
运营要求,功能要求
通道条件,系统构成
通道条件,监控对象
通道条件,功能要求
需要,设备选型
需要,系统容量
需要,功能配置
综合监控系统,电力调度系统
运行要求,功能
监测情况,使用
近期建设规模,地铁通信系统总体方案
近期建设规模,系统容量
远期发展规划,地铁通信系统总体方案
远期发展规划,系统容量
要求,通信系统设备
信号、轨道专业,确定
特殊规定,外露可导电部分
现行行业标准《交流电气装置的接地设计规范》GB/T50065,变电所接地装置
人身安全要求,接地系统设计
正常运行,接地系统设计
设备限界,设置
车辆限界,设置
线网规划,建设
建设需求,建设
防撞击,无线通信系统车载台
耐震动,无线通信系统车载台
需求,建设
条件,合设
供电需求,民用电源系统
兼容,公安无线通信引入系统
互连互通,公安无线通信引入系统
供电需求,公安电源系统
原则,地铁通信设备用房
合理要求,设计
原则,电路
原则,设备
原则,ATP系统
安全认证,安全系统
安全认证,设备
需要,信号系统
运营要求,信号系统
需求,信号工程
便于维修,信号设备
减少,信号设备
便于测试,信号设备
更换,信号设备
超出,车载设备
侵入,地面设备
现行国家标准《城市轨道交通信号系统通用技术条件》GB/T12758,基本信号显示
建设和经济发展状况,地铁
需要,自动售检票系统
一致,系统技术条件
兼容,系统技术条件
要求,自动售检票系统
充值金额,自动充值机
要求,设置
通行,设置
本规范第15.4.1条,电线
本规范第15.4.1条,电缆
防水,预埋管
防尘,预埋管
防水,槽
防尘,槽
防水,盒
防尘,盒
要求,确定
独立配置,火灾自动报警系统现场级网络
防火分区,划分
设备配置,划分
相互传输,消防控制室之间
状态信息,消防控制室之间
相互控制,消防控制室之间
防火分区,划分
穿入,线路
本规范第15.4.1条,电线
本规范第15.4.1条,电缆
现代运营管理需要,地铁
需要,综合监控系统
本规范第15章,电力监控子系统功能
本规范第21章,环境与设备监控子系统功能
本规范第19章,火灾自动报警子系统功能
便于,综合监控系统软件
现代运营管理,地铁
运营管理需求,构建
可根据需要设仿真测试平台,综合监控系统
车站级,配置
便于增减,综合监控系统
不应大于2s,传输时间
不应大于2s,设备状态变化反映时间
不应小于10，000h,系统平均无故障时间(MTBF)
供电负荷,供电
地铁系统,环境与设备的监控
基本原则,设置
原则,环境与设备监控系统
原则,救灾模式
相应产品或系统,环境与设备监控系统
乘客,乘客信息系统(PIS)
独立设置,编制
车站级,综合监控系统
监控系统软件平台,环境与设备监控系统软件
运营需求,环境与设备监控系统软件
发展趋势,系统软件
数据接口层,编制
数据处理层,编制
数据应用层,编制
规定,电缆
清晰,控制
可靠,数据传输机制
稳定,数据传输机制
高效,数据传输机制
运行,单站的调试
避免,布线
应保持,屏蔽布线系统
可靠接地,现场机柜
文字,乘客信息系统
图片,乘客信息系统
视频信息,乘客信息系统
数据传送,乘客信息系统
数据显示,乘客信息系统
不应大于1Ω,接地电阻
不应共用电缆,数据线
不应敷设,数据线
不应共用电缆,电源线
不应敷设,电源线
工业级标准,设计
地铁车站环境,设计
不应低于1h,后备时间
便于识别和操作,安装
不应大于1Ω,接地电阻
安全,整体工艺设计
可靠,整体工艺设计
操作,整体工艺设计
使用,整体工艺设计
维修及管理方便,整体工艺设计
运营成本,整体工艺设计
运营管理的需要,运营管理区
组织架构,运营管理区
功能要求,维修区
系统设备,建筑设计
结构,建筑设计
消防,建筑设计
专业的,建筑设计
专业的要求,选择
专业的要求,敷设
强电,竖向布线
弱电,竖向布线
消防,竖向布线
隐蔽敷设,电线
隐蔽敷设,电缆
隐蔽敷设,管线
不应大于1Ω,接地电阻
各系统总的散流要求,接地电阻
不宜超过3℃,温差
维持正压,中央控制室
维持正压,设备房
分开设置,空调系统
专业的要求,照明
低于正常照明的10％,应急照明
低于正常照明的30％,应急工作照明
不应低于1h,应急照明
不应少于20h,连续运行时间
不应少于140h,连续运行时间
应能以100％制动载荷连续运行1h,连续运行时间
本规范第15.4.1条的规定,电线
本规范第15.4.1条的规定,电缆
不应小于0.5m/s,额定速度
宜选用0.65m/s,额定速度
不应大于30°,倾斜角度
不应大于12°,倾斜角度
不宜小于1m,梯级净宽
不宜小于2m,曲率半径
不宜小于1.5m,曲率半径
不应,排水设施
《无障碍设计规范》GB 50763的有关规定,各项设施
消防电梯,设施
不应小于800kg,额定载重
不应小于0.63m/s,额定速度
不宜小于1m,开门宽度
本规范第15.4.1条的规定,电线
本规范第15.4.1条的规定,电缆
