ename1,ename2
不燃材料,车辆
阻燃材料,车辆
不燃材料,设施
阻燃材料,设施
接触网受电弓,受电方式
接触轨受流器,受电方式
统一尺寸,地铁车辆
材料,之间
材料,之间
安装,蓄电池箱
微机控制,制动系统
平坡,区间地面线
平坡,高架线
轨距加宽,曲线地段
无砟道床,地下线
无砟道床,高架线
无砟道床,地面车站
有砟道床,地面线
一种,正线
一种,曲线地段
无砟道床,车场库内线
钢轨,钢轨
钢轨,车场线
对接,钢轨接头
厂制缩短轨,曲线内股
错接,钢轨接头
连接,钢轨
弹性扣件,钢轨
预制钢筋混凝土轨枕,无砟道床地段
预应力混凝土枕,有砟道床地段
弹性分开式扣件,道岔结构
减振轨道类型,工程
减振产品,工程
反光材料,标志
产品,主要材料
综合接地系统,功能性接地
综合接地系统,保护性接地
综合接地系统,防雷接地
集中式供电,地铁外部电源方案
分散式供电,地铁外部电源方案
混合式供电,地铁外部电源方案
直流双导线制,牵引网
双边供电,牵引变电所
电动隔离开关,主备两路电源
成套装置,变电所直流操作电源
铝合金汇流排,刚性架空接触网
耐火铜芯电缆,配电线路
矿物绝缘耐火铜芯电缆,配电线路
支架,电缆
遮阳措施,电缆
管材,电缆
刚性固定方式,电缆
电缆,敷设
结构钢筋,无砟道床
接地装置,供电系统
接地装置,其他系统
集中供电,通信设备
综合接地方式,地铁车站
综合接地方式,控制中心
综合接地方式,车辆基地
分设接地方式,车辆基地
硬件接口,网络管理系统间
通信协议,网络管理系统间
光缆,传输系统
非金属加强芯,光缆
材料,通信主干电缆
材料,光缆
合设方式,公务电话系统
合设方式,专用电话系统
列车控制方式,ATC系统
移动闭塞,ATC系统
准移动闭塞制式,ATC系统
热备冗余结构,ATP车载设备
冗余结构,无人驾驶系统ATP地面/车载计算机设备
冗余结构,ATO设备
无人驾驶方式,ATO设备
设备,自动售检票系统
清分中心,网络
线路中心,网络
车站三级组网,网络
专用通信传输网,互连
通信协议,网络通信接口
三级管理模式,自动售检票系统
电线,自动售检票系统
电缆,自动售检票系统
综合接地,自动售检票系统
地铁公共通信网络,地铁全线火灾自动报警
地铁公共通信网络,信息传输网络
供电回路,消防用电设备
穿,传输线路
封闭式线槽保护方式,传输线路
穿管布线,传输线路
电线,火灾自动报警系统
电缆,火灾自动报警系统
运营管理需求,构建
通信系统传输网络,骨干网
车站级,控制中心楼宇
通信系统,骨干网
传输网络组网,骨干网
平板显示器,终端显示设备
多媒体触摸屏,终端显示设备
分层、分布式计算机控制系统,环境与设备监控系统
结构,软件系统
层次性模型,软件系统
技术,系统软件
一点接地,屏蔽层
全数字的方式,信息采集
全数字的方式,传输
全数字的方式,显示
综合接地,乘客信息系统
无卤,数据线
低烟,数据线
出门按钮,开门
紧急开门按钮,开门
紧急开门按钮,开门
综合布线,控制中心
综合管线敷设方式,控制中心
电缆井,竖向布线
公共交通型,地铁
室外型产品,室外的自动扶梯
阻燃材料,传输设备
构造措施,安装位置
无机房电梯,车站
液压电梯,车站
不燃,井道壁
不燃,底面
不燃,顶板
坚固,井道壁
坚固,底面
坚固,顶板
无粉尘,井道壁
无粉尘,底面
无粉尘,顶板
一级负荷,供电
钢筋混凝土结构,井道
其他结构类型,井道
室外型轮椅升降机,露天出入口
防滑材料,轮椅升降机
相应的构造措施,门体结构
直流永磁电机,驱动电机
开放的,站台门监控系统
冗余配置,系统控制电源模块
综合接地,设备
远期规模,用地范围
节约用地,车辆基地设计
节约能源,车辆基地设计
资源,车辆基地设计
日常维修,车辆检修
定期检修,车辆检修
安全,当地的环境要求
实用,当地的环境要求
美观,当地的环境要求
城市杂用水系统,内部冲厕、绿化及地面冲洗水
重复利用,废水
排放,其他含油废水
渗透地面,车辆基地
屋顶绿化,车辆基地
技术经济比较,车辆基地
液位自动控制、就地控制方式,排水泵
城市自来水,地铁给水水源
给水水源,地铁给水水源
球墨铸铁给水管,室外给水管
胶圈接口,室外给水管
措施,通风与空调系统
活塞通风,正常通风
消声和减振措施,通风系统
消声和减振措施,空调系统
降温,地面变电所
机械排风、自然进风的方式,地面变电所
自防水,地下工程
接缝防水,地下工程
防水层,地下工程
自防水,防水
防水措施,防水
双道防线,地下结构
双道防线,地下结构
塑料防水板,复合式衬砌夹层防水层
防腐蚀处理,表面
材料,注浆材料
方案,施工方法
钢筋混凝土桥墩,区间桥梁
分段统一,桥墩类型
独柱式带长悬臂“桥-建”组合结构体系,岛式车站
钢结构,高架车站轨道梁
钢结构,支承结构
设计,车站设计
分期建设,土建工程
分期建设,地面
分期建设,高架车站
分期建设,相关地面建筑
人工式,售、检票方式
半自动或自动式,售、检票方式
可透视栅栏,分隔
平开栅栏门,分隔
吸声处理,车站轨道区
隔声、吸声措施,房间
综合防治措施,地面、高架车站
声屏障,地面、高架车站
下沉式或全地下式,冷却塔
自动扶梯,站台
自动扶梯,站厅
自动扶梯,站厅至地面上、下行
中央空调,地上车站
装配式支挡结构,支挡结构
加固措施,路基排水设施
坡面防护,沿河地段路基
河水导流或改道等防护措施,沿河地段路基
地面建筑合建式,地面出入口
措施,地下出入口通道长度
26°34′倾角,乘客使用的楼梯
远期列车编组数,每一侧数量
防淹措施,无障碍电梯井出地面部分
动力系数,列车活载
车桥或风车桥系统,列车活载
板式橡胶支座,梁
无砟轨道结构,桥上轨道
措施,高架结构
防水措施,封锚及接缝处
抗震设计及设防,有关规定
地下水处理,设计
防治措施,设计
措施,地下结构
防锈处理,钢结构及钢连接件
高水化热水泥,混凝土
高效减水剂,混凝土
优质粉煤灰,混凝土
磨细矿渣,混凝土
防腐蚀处理,表面
技术措施,地下结构
工程自身风险,地下结构
环境风险,地下结构
防水措施,地下工程防水
限排,结构
橡胶类材料,接缝密封垫
耐水压,接缝密封垫
双道防水,沉管隧道管段接头
