ename1,ename2
无自爆,电气设备
低损耗,电气设备
低噪声,电气设备
电源,变电所
运行条件,牵引整流机组
停车检修,折返线
主备两路电源,接触网供电
主电源,接触网
备用电源,接触网
电气连接,金属电缆支架
接地,金属电缆支架
抗电气干扰性能,通信系统设备
防护层,通信主干电缆
综合业务数字网络功能,公务电话系统
功能,视频监视系统
高可靠性,信号系统
高可用性,信号系统
高安全性,信号系统
处理,系统设备
功能,自动售检票系统
信息提示,自动售检票系统
能力,自动售检票系统设备
空间,设置
监控,综合监控系统
管理,综合监控系统
联动控制功能,综合监控系统
监控,综合监控系统
运营辅助管理功能,综合监控系统
群组控制,综合监控系统
模式控制,综合监控系统
点动控制功能,综合监控系统
监视,综合监控系统
列车运行,列车自动监控子系统
设备状态自动监视功能,列车自动监控子系统
接入,综合监控系统软件
实时监控,综合监控系统
事务数据管理,综合监控系统
集成系统的监控和管理,综合监控系统
时互联系统的监控,综合监控系统
联动控制功能,综合监控系统
运营辅助管理功能,综合监控系统
监视,综合监控系统
功能,列车自动监控子系统
接入,综合监控系统
安全性,乘客信息系统
可靠性,乘客信息系统
可扩充性,乘客信息系统
使用灵活性,乘客信息系统
完备的,乘客信息系统
中央监控管理级,组成
车站监控级,组成
现场控制级,组成
相关通信网络,组成
通风、空调与供暖系统,监控对象
给水与排水系统,监控对象
应急电源(EPS),监控对象
不间断电源(UPS)系统,监控对象
照明系统,监控对象
乘客导向标识系统,监控对象
自动扶梯,监控对象
电梯设备,监控对象
站台门,监控对象
防淹门系统,监控对象
温、湿度等环境参数的监测,监控对象
车站及区间机电设备监控,环境与设备监控系统
执行防灾及阻塞模式,环境与设备监控系统
车站环境监测,环境与设备监控系统
管理,环境与设备监控系统
系统用能计量,环境与设备监控系统
设备节能运行管理与控制,环境与设备监控系统
系统维护,环境与设备监控系统
功能,防灾和阻塞模式
对环境参数进行统计,管理
能耗数据,管理
统计,管理
功能,软件体系
良好的,软件体系
可用性,数据
完整性,数据
保密性,数据
安全可靠性,布置
开放性,布置
灵活性,布置
可扩展性,布置
良好的,软件系统
不同方式,软件系统
与其他系统有一定的互连能力,软件系统
乘客被动式,乘客信息系统
多媒体导乘信息获取,乘客信息系统
主动式多媒体咨询,乘客信息系统
查询,乘客信息系统
全数字传输,乘客信息系统
每个区域可独立控制,终端显示设备
单独播出列表,终端显示设备
车载控制器,车载子系统
车载无线客户端,车载子系统
图像存储设备,车载子系统
网络设备,车载子系统
客室终端显示屏,车载子系统
接收ATS,乘客信息系统
接收ATS,信号系统接口
列车,乘客信息系统
出入口监控,门禁系统
安全管理,门禁系统
7×24h,系统
7×24h,设备
不间断电源,系统
断电释放,电子锁
通信,门禁系统
综合监控(或安防),门禁系统
火灾自动报警,门禁系统
低压配电,门禁系统
建筑专业,门禁系统
防灾和应急指挥,防灾和应急指挥中心
检修,综合布线
更新改造,综合布线
更新改造,综合管线
防火,综合布线
防水,综合布线
防鼠,综合布线
防火,综合管线
防水,综合管线
防鼠,综合管线
变频调速,自动扶梯
变频调速,自动人行道
防滑措施,上下平台
防止冰雪积聚设施,严寒地区
三方通话,电梯
集油装置,排水设施
乘客自行操作条件,轮椅升降机
安装,车站
信号,站台门系统
综合监控(或环境与设备监控),站台门系统
车辆,站台门系统
低压配电,站台门系统
手动开启,轨道侧
三维调节功能,连接部分
障碍物探测功能,站台门
消防荷载,人群均布荷载
渗漏,伸缩缝
孔道,箱形结构
附属设施,支挡结构
100％竖向静活载,抗震设防类别
50％站台人群荷载,重点设防类
工程应用实际效果,新材料
工程应用实际效果,新工艺
工程应用实际效果,新技术
