ename1,ename2
30对/h,行车密度
30对/h,行车密度
80人/km,定员
60人/km,运营定员指标
1200m,海拔
－25℃～40℃,环境温度
90％,最大相对湿度
25℃,月平均温度
1435mm,线路轨距
2000m,最小竖曲线半径
30‰,最大坡度
35‰,困难地段
40‰,最大坡度
额定DC1500V,供电电压
DC1000V～DC1800V,波动范围
额定DC750V,供电电压
DC500V～DC900V,波动范围
840+4-0mm,直径
1mm,两轮直径之差
2mm,各轮径差
3％,重量
0.083m/s2,加速度
720mm或660mm,高
70N～140N,静态压力
120N～180N,静态压力
110V及24V,标称电压
45min,工作
600mm,宽度
1800mm,高度
60km/h,计算速度
100km/h,计算速度
小于等于900mm,高度
100mm,宽度
50mm,设备限界
30‰,最大坡度
35‰,最大坡度
40‰,最大坡度
40‰,最大坡度
3‰,最小坡度
2‰,困难
1.5‰,超高最大顺坡率
100年,使用年限
1/40～1/30,轨底坡
1435mm,标准轨距
250m,半径
2‰,递减率
1/2,曲线超高
1/2,曲线超高
外轨抬高超高值,轨道曲线超高
2‰,顺坡率
2.5‰,困难地段
70mm～100mm,宽度
50mm,深度
钢轨,60kg/m
钢轨,50kg/m
200m,半径
3m,错接距离
20kN/mm～40kN/mm,垂直静刚度
40kN/mm～60kN/mm,垂直静刚度
1.4,动静比
区间设计速度,允许通过速度
30km/h,允许通过速度
全轴距,长度
直流馈线,每路
负母线,每路
连续供电,2h
300m,间距
库线,每条
回路,每个
两根,电缆根数
150mm,间距
50mm,间距
最大值,截面
600m,均流线间距
电缆,2根
具体位置,每处
最小值,接地电阻
7dB,地区用户线传输衰耗
车站,各
10-7,自走时精度
10-6,自走时精度
ATP车载设备,一套
运营模式,各种
线路,各
独立网络系统间,各
线路,各
通道,3
组,每
3,组
标准通道双向自动检票机,多
一个,至少
双向宽通道自动检票机,一个
1Ω,接地电阻
触发装置,两种
设备用房,各类
火灾危险性,较大
火灾自动报警探测器,两种
30m,长度
管内,同一根
10，000h,系统平均无故障时间(MTBF
最小,变形
厚度,探测
5mm～10mm,探测
40mm,最小宽度
4．0kPa,标准值
不应少于12．6m3,新鲜空气量
不应少于30m3,新鲜空气量
10％,空调系统新风量
不得超过60dBA,噪声
低于－10℃,室外平均温度
不应小于C15,强度等级
不应小于100mm,厚度
不应小于150mm,软弱土层
不宜小于1．5mm,厚度
1倍～1．15倍,截面积
4．0kPa,人群均布荷载值
100mm,直径
排水坡,3％
可透视栅栏,不低于1．1m
不应大于30°,倾斜角度
30°,倾斜角度
不小于500mm,裕量
400mm,站台边缘
不小于80mm宽,安全线
300mm～450mm,地面标高
超过三处,弯折
小于90°,弯折角度
超过100m,地下出入口通道长度
大于10m,直线距离
不足10m,直线距离
5m,排烟风亭口部
大于3．6m,宽度
不应超过18级,每个梯段
不应少于3级,每个梯段
1．2m～1．8m,休息平台长度
不得小于16m,工作点间距
不得小于8m,障碍物间距
不得小于12m,间距
车辆门宽度加停车误差,开启净宽度
不应低于2m,高站台门高度
不应低于1．2m,低站台门高度
大于15mm,平整度误差
1．10m,宽度
小于1．8m,深度
大于10mm,后期徐变上拱值
大于5‰,梁单端竖向转角
大于3‰,梁单端竖向转角
大于2‰,无砟轨道梁单端竖向转角
小于等于计算跨度的1/4000,梁体水平挠度
大于6mm,两轨动态不平顺度
1000kN,撞击力
500kN,撞击力
0．75kN/m,水平推力
0．36kN/m,竖向压力
1．2m,水平推力
1．20m,高度
不大于20m,跨度
小于0．25m,轨道下枕底道砟厚度
超过20m,高度
L0/600,限值
不宜小于10Hz,自振频率
标准值8．0kPa,实际情况
不宜低于0．2％,配筋率
不宜大于150mm,间距
大于C60,混凝土标号
宜增加0．1％,最小配筋率
不得高于80℃,环境温度
不宜大于4×10-12m2/s,氯离子扩散系数
不宜大于3×10-12m2/s,氯离子扩散系数
