ename,etname
车辆型式,专有名词
动车,物理施工元素
车辆型式,专有名词
拖车,物理施工元素
动车,物理施工元素
带司机室动车(Mc),物理施工元素
动车,物理施工元素
无司机室动车(M),物理施工元素
拖车,物理施工元素
带司机室拖车(Tc),物理施工元素
拖车,物理施工元素
无司机室拖车(T),物理施工元素
建筑限界,属性名
隧道建筑限界,属性名
建筑限界,属性名
高架建筑限界,属性名
建筑限界,属性名
地面建筑限界,属性名
隧道建筑限界,属性名
矩形隧道建筑限界,属性名
隧道建筑限界,属性名
马蹄形隧道建筑限界,属性名
隧道建筑限界,属性名
圆形隧道建筑限界,属性名
地铁线路,专有名词
正线,空间
正线,空间
干线,空间
正线,空间
支线,空间
地铁线路,专有名词
配线,空间
地铁线路,专有名词
车场线,空间
配线,空间
车辆基地出入线,空间
配线,空间
联络线,空间
配线,空间
折返线,空间
配线,空间
停车线,空间
配线,空间
渡线,空间
配线,空间
安全线,空间
运营维修,行为(机器行为、人类行为)
检测,行为(机器行为、人类行为)
运营维修,行为(机器行为、人类行为)
维修,行为(机器行为、人类行为)
规定,属性名
隧道内,空间位置
规定,属性名
超高,属性名
规定,属性名
高架线,物理施工元素
规定,文件工作成果
地下线,空间
规定,文件工作成果
高架线,空间
规定,文件工作成果
地面车站,空间
规定,文件工作成果
地面线,空间
规定,文件工作成果
正线,空间
规定,文件工作成果
配线,空间
规定,文件工作成果
车场库内线,空间
规定,文件工作成果
正线,空间
规定,文件工作成果
配线,空间
规定,文件工作成果
车场线,空间
规定,文件工作成果
钢轨接头,物理施工元素
规定,文件工作成果
曲线内股,物理施工元素
规定,文件工作成果
钢轨,物理施工元素
规定,文件工作成果
无砟道床地段,空间
规定,文件工作成果
无砟道床,物理工作成果
规定,文件工作成果
有砟道床,物理工作成果
规定,文件工作成果
技术性能,属性名
规定,文件工作成果
正线,空间
规定,文件工作成果
扣压件形式,属性名
规定,文件工作成果
道岔,物理施工元素
规定,文件工作成果
道岔,物理施工元素
规定,文件工作成果
辙叉部位,属性名
规定,文件工作成果
正线,空间
减振级别,属性名
中等减振,属性值
减振级别,属性名
高等减振,属性值
减振级别,属性名
特殊减振,属性值
规定,文件工作成果
设置,行为(机器行为、人类行为)
规定,文件工作成果
设置,行为(机器行为、人类行为)
规定,文件工作成果
制作,行为(机器行为、人类行为)
规定,文件工作成果
设,行为(机器行为、人类行为)
规定,文件工作成果
安装,行为(机器行为、人类行为)
线路标志,专有名词
百米标,物理施工元素
线路标志,专有名词
坡度标,物理施工元素
线路标志,专有名词
曲线要素标,物理施工元素
线路标志,专有名词
平面曲线起终点标,物理施工元素
线路标志,专有名词
竖曲线起终点标,物理施工元素
线路标志,专有名词
道岔编号标,物理施工元素
线路标志,专有名词
站名称,物理施工元素
线路标志,专有名词
桥号标,物理施工元素
线路标志,专有名词
水位标,物理施工元素
信号标志,专有名词
限速标,物理施工元素
信号标志,专有名词
停车位置标,物理施工元素
信号标志,专有名词
警冲标,物理施工元素
绿色能源,抽象施工元素
光伏发电,专有名词
重要的负荷,专有名词
一级负荷,专有名词
主变电所,建筑
变电所,建筑
电源开闭所,建筑
变电所,建筑
牵引变电所,建筑
变电所,建筑
降压变电所,建筑
变电所,建筑
遮阳措施,抽象施工元素
罩,工具
遮阳措施,抽象施工元素
盖,工具
电力调度系统(主站),抽象施工元素
电力监控系统,抽象施工元素
变电所综合自动化系统(子站),抽象施工元素
电力监控系统,抽象施工元素
专用数据传输通道,抽象施工元素
电力监控系统,抽象施工元素
电力调度系统,抽象施工元素
综合监控系统,抽象施工元素
专用通信系统,抽象施工元素
地铁通信系统,抽象施工元素
民用通信引入系统,抽象施工元素
地铁通信系统,抽象施工元素
